;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Total_moto;299264;319779;336448;348159;357252;370700;381986;410750;435042;464357;493781;521390;545132;567358;583010;591865;608660;619166;636540;642777;651202;665870;679822;687990;699219;710022;720381;729149
motocycle;257207;277510;294562;306154;315829;329193;345295;367289;379387;393691;407210;419259;429191;454464;482418;499467;520949;536334;555951;567831;580657;597933;614115;625265;639119;652683;664954;675144
motocycle leger;40040;39772;39087;38978;38206;38135;33007;38597;50008;64299;79536;94042;106612;102354;88548;79044;73516;67206;63663;57308;52102;47936;43384;38263;33567;28701;25251;22726
motocycle-tricar ;839;1048;1089;1084;1088;1076;1159;1131;1192;1148;1064;976;925;859;830;803;847;811;829;766;724;711;701;676;634;607;597;582
motocycle-side-car;969;1246;1532;1775;1980;2180;2289;2477;2652;2732;2765;2778;2824;2843;2869;2856;2564;2574;2676;2702;2889;2941;2974;3002;3069;3080;3039;3072
motocycle leger tricar;209;203;178;168;149;116;97;99;100;94;80;130;147;147;157;149;151;164;183;180;258;994;2153;3660;4729;5856;6414;6657
quadricycle leger à moteur;0;0;0;0;0;0;1;4;8;10;18;142;265;369;451;473;448;418;368;315;278;237;204;192;188;164;162;158
quadricycle a moteur;0;0;0;0;0;0;15;161;534;956;1458;2173;3081;4070;5379;6612;7865;9116;10167;10750;11149;11788;12826;13379;14112;14876;15624;16257
tricycle a moteur;0;0;0;0;0;0;34;123;233;372;529;699;890;1014;1102;1149;1215;1319;1466;1576;1750;1977;2132;2252;2539;2830;3177;3464
luge a moteur ;0;0;0;0;0;0;89;869;928;1055;1121;1191;1197;1238;1256;1312;1105;1224;1237;1349;1395;1353;1333;1301;1262;1225;1163;1089
